"T",,"date"
80,530.88,"2022,05,30,11:12:36"
80.25,531.88,"2022,05,30,11:12:37"
80,532.88,"2022,05,30,11:12:38"
80,533.89,"2022,05,30,11:12:39"
80.5,534.89,"2022,05,30,11:12:40"
80.25,535.89,"2022,05,30,11:12:41"
80.25,536.89,"2022,05,30,11:12:42"
80.5,537.89,"2022,05,30,11:12:43"
79.75,538.89,"2022,05,30,11:12:44"
80,539.9,"2022,05,30,11:12:45"
80.25,540.9,"2022,05,30,11:12:46"
80,541.9,"2022,05,30,11:12:47"
80,542.9,"2022,05,30,11:12:48"
79.5,543.9,"2022,05,30,11:12:49"
79.75,544.9,"2022,05,30,11:12:50"
79.5,545.91,"2022,05,30,11:12:51"
80.25,546.91,"2022,05,30,11:12:52"
80,547.91,"2022,05,30,11:12:53"
79.5,548.91,"2022,05,30,11:12:54"
80.5,549.91,"2022,05,30,11:12:55"
80.25,550.91,"2022,05,30,11:12:56"
80.25,551.91,"2022,05,30,11:12:57"
80.25,552.92,"2022,05,30,11:12:58"
80.25,553.92,"2022,05,30,11:12:59"
80,554.92,"2022,05,30,11:13:00"
80.75,555.92,"2022,05,30,11:13:01"
79.75,556.92,"2022,05,30,11:13:02"
80,557.92,"2022,05,30,11:13:03"
80.5,558.93,"2022,05,30,11:13:04"
80,559.93,"2022,05,30,11:13:05"
80,560.93,"2022,05,30,11:13:06"
80,561.93,"2022,05,30,11:13:07"
80.75,562.93,"2022,05,30,11:13:08"
80.5,563.93,"2022,05,30,11:13:09"
79.75,564.94,"2022,05,30,11:13:10"
80.5,565.94,"2022,05,30,11:13:11"
80.5,566.94,"2022,05,30,11:13:12"
80.5,567.94,"2022,05,30,11:13:13"
80.75,568.94,"2022,05,30,11:13:14"
80,569.94,"2022,05,30,11:13:15"
80.75,570.95,"2022,05,30,11:13:16"
80.25,571.95,"2022,05,30,11:13:17"
80.75,572.95,"2022,05,30,11:13:18"
80.5,573.95,"2022,05,30,11:13:19"
80.75,574.95,"2022,05,30,11:13:20"
80.5,575.95,"2022,05,30,11:13:21"
80.25,576.96,"2022,05,30,11:13:22"
80.75,577.96,"2022,05,30,11:13:23"
81,578.96,"2022,05,30,11:13:24"
80.25,579.96,"2022,05,30,11:13:25"
80.25,580.96,"2022,05,30,11:13:26"
80,581.96,"2022,05,30,11:13:27"
80.5,582.97,"2022,05,30,11:13:28"
80,583.97,"2022,05,30,11:13:29"
80.25,584.97,"2022,05,30,11:13:30"
80,585.97,"2022,05,30,11:13:31"
80.75,586.97,"2022,05,30,11:13:32"
79.75,587.97,"2022,05,30,11:13:33"
80.75,588.97,"2022,05,30,11:13:34"
80,589.98,"2022,05,30,11:13:35"
80.25,590.98,"2022,05,30,11:13:36"
80.75,591.98,"2022,05,30,11:13:37"
81,592.98,"2022,05,30,11:13:38"
80.25,593.98,"2022,05,30,11:13:39"
80.75,594.98,"2022,05,30,11:13:40"
80.75,595.99,"2022,05,30,11:13:41"
80.25,596.99,"2022,05,30,11:13:42"
80.75,597.99,"2022,05,30,11:13:43"
80.75,598.99,"2022,05,30,11:13:44"
80.25,599.99,"2022,05,30,11:13:45"
80,600.99,"2022,05,30,11:13:46"
80.25,602,"2022,05,30,11:13:47"
80,603,"2022,05,30,11:13:48"
80.75,604,"2022,05,30,11:13:49"
80.5,605,"2022,05,30,11:13:50"
80.25,606,"2022,05,30,11:13:51"
80.5,607,"2022,05,30,11:13:52"
80,608.01,"2022,05,30,11:13:53"
80,609.01,"2022,05,30,11:13:54"
80.5,610.01,"2022,05,30,11:13:55"
80.25,611.01,"2022,05,30,11:13:56"
80.75,612.01,"2022,05,30,11:13:57"
80.75,613.03,"2022,05,30,11:13:58"
80,614.03,"2022,05,30,11:13:59"
80.75,615.03,"2022,05,30,11:14:00"
80.25,616.03,"2022,05,30,11:14:01"
80,617.03,"2022,05,30,11:14:02"
80,618.03,"2022,05,30,11:14:03"
81,619.03,"2022,05,30,11:14:04"
80.25,620.04,"2022,05,30,11:14:05"
80.5,621.04,"2022,05,30,11:14:06"
80.5,622.04,"2022,05,30,11:14:07"
