"T",,"date"
140,1237.06,"2022,05,30,11:24:22"
140.25,1238.06,"2022,05,30,11:24:23"
139.75,1239.06,"2022,05,30,11:24:24"
139.75,1240.06,"2022,05,30,11:24:25"
140.25,1241.07,"2022,05,30,11:24:26"
140.25,1242.07,"2022,05,30,11:24:27"
140.75,1243.07,"2022,05,30,11:24:28"
140,1244.07,"2022,05,30,11:24:29"
140.5,1245.07,"2022,05,30,11:24:30"
140.25,1246.07,"2022,05,30,11:24:31"
141.25,1247.08,"2022,05,30,11:24:32"
140.75,1248.08,"2022,05,30,11:24:33"
141.5,1249.08,"2022,05,30,11:24:34"
140.75,1250.08,"2022,05,30,11:24:35"
141.25,1251.08,"2022,05,30,11:24:36"
141.25,1252.08,"2022,05,30,11:24:37"
141.25,1253.08,"2022,05,30,11:24:38"
141.75,1254.09,"2022,05,30,11:24:39"
142,1255.09,"2022,05,30,11:24:40"
142.25,1256.09,"2022,05,30,11:24:41"
142,1257.09,"2022,05,30,11:24:42"
142,1258.09,"2022,05,30,11:24:43"
142,1259.09,"2022,05,30,11:24:44"
142.75,1260.1,"2022,05,30,11:24:45"
143,1261.1,"2022,05,30,11:24:46"
142.5,1262.1,"2022,05,30,11:24:47"
143,1263.1,"2022,05,30,11:24:48"
142.5,1264.1,"2022,05,30,11:24:49"
142.75,1265.1,"2022,05,30,11:24:50"
143.5,1266.11,"2022,05,30,11:24:51"
143,1267.11,"2022,05,30,11:24:52"
143.25,1268.11,"2022,05,30,11:24:53"
143.5,1269.11,"2022,05,30,11:24:54"
143.5,1270.11,"2022,05,30,11:24:55"
143.5,1271.11,"2022,05,30,11:24:56"
143.5,1272.12,"2022,05,30,11:24:57"
143.75,1273.12,"2022,05,30,11:24:58"
144,1274.12,"2022,05,30,11:24:59"
144.75,1275.12,"2022,05,30,11:25:00"
144.25,1276.12,"2022,05,30,11:25:01"
144,1277.13,"2022,05,30,11:25:02"
145,1278.13,"2022,05,30,11:25:03"
144.5,1279.13,"2022,05,30,11:25:04"
144.5,1280.13,"2022,05,30,11:25:05"
145.25,1281.13,"2022,05,30,11:25:06"
145,1282.13,"2022,05,30,11:25:07"
145,1283.14,"2022,05,30,11:25:08"
145,1284.14,"2022,05,30,11:25:09"
145,1285.14,"2022,05,30,11:25:10"
145,1286.14,"2022,05,30,11:25:11"
145.25,1287.14,"2022,05,30,11:25:12"
145.75,1288.14,"2022,05,30,11:25:13"
146.25,1289.15,"2022,05,30,11:25:14"
146,1290.15,"2022,05,30,11:25:15"
146,1291.15,"2022,05,30,11:25:16"
145.75,1292.15,"2022,05,30,11:25:17"
145.5,1293.15,"2022,05,30,11:25:18"
146.25,1294.15,"2022,05,30,11:25:19"
145.75,1295.15,"2022,05,30,11:25:20"
146.5,1296.16,"2022,05,30,11:25:21"
146.25,1297.16,"2022,05,30,11:25:22"
146.75,1298.16,"2022,05,30,11:25:23"
146.75,1299.16,"2022,05,30,11:25:24"
146.25,1300.16,"2022,05,30,11:25:25"
147,1301.16,"2022,05,30,11:25:26"
146.75,1302.17,"2022,05,30,11:25:27"
147.5,1303.17,"2022,05,30,11:25:28"
147,1304.17,"2022,05,30,11:25:29"
147.5,1305.17,"2022,05,30,11:25:30"
147.25,1306.17,"2022,05,30,11:25:31"
148,1307.17,"2022,05,30,11:25:32"
147.5,1308.18,"2022,05,30,11:25:33"
147.75,1309.18,"2022,05,30,11:25:34"
148.25,1310.18,"2022,05,30,11:25:35"
148.5,1311.18,"2022,05,30,11:25:36"
147.75,1312.18,"2022,05,30,11:25:37"
147.75,1313.18,"2022,05,30,11:25:38"
147.75,1314.19,"2022,05,30,11:25:39"
148.25,1315.19,"2022,05,30,11:25:40"
148.75,1316.19,"2022,05,30,11:25:41"
148.25,1317.19,"2022,05,30,11:25:42"
148.5,1318.19,"2022,05,30,11:25:43"
148.75,1319.19,"2022,05,30,11:25:44"
149.25,1320.2,"2022,05,30,11:25:45"
149.5,1321.2,"2022,05,30,11:25:46"
149.25,1322.2,"2022,05,30,11:25:47"
149.75,1323.2,"2022,05,30,11:25:48"
149,1324.2,"2022,05,30,11:25:49"
149.25,1325.2,"2022,05,30,11:25:50"
149.75,1326.21,"2022,05,30,11:25:51"
150,1327.21,"2022,05,30,11:25:52"
149.5,1328.21,"2022,05,30,11:25:53"
149.75,1329.21,"2022,05,30,11:25:54"
149.5,1330.21,"2022,05,30,11:25:55"
150,1331.21,"2022,05,30,11:25:56"
149.75,1332.22,"2022,05,30,11:25:57"
150,1333.22,"2022,05,30,11:25:58"
150.75,1334.22,"2022,05,30,11:25:59"
150.75,1335.22,"2022,05,30,11:26:00"
151,1336.22,"2022,05,30,11:26:01"
150.5,1337.22,"2022,05,30,11:26:02"
151.25,1338.23,"2022,05,30,11:26:03"
151,1339.23,"2022,05,30,11:26:04"
150.5,1340.23,"2022,05,30,11:26:05"
150.75,1341.23,"2022,05,30,11:26:06"
151,1342.23,"2022,05,30,11:26:07"
151,1343.23,"2022,05,30,11:26:08"
151,1344.24,"2022,05,30,11:26:09"
151.25,1345.24,"2022,05,30,11:26:10"
151.5,1346.24,"2022,05,30,11:26:11"
152,1347.24,"2022,05,30,11:26:12"
151.75,1348.24,"2022,05,30,11:26:13"
151.75,1349.24,"2022,05,30,11:26:14"
151.5,1350.25,"2022,05,30,11:26:15"
152.25,1351.25,"2022,05,30,11:26:16"
152.5,1352.25,"2022,05,30,11:26:17"
152.5,1353.25,"2022,05,30,11:26:18"
152.5,1354.25,"2022,05,30,11:26:19"
152.25,1355.25,"2022,05,30,11:26:20"
152.5,1356.26,"2022,05,30,11:26:21"
152.5,1357.26,"2022,05,30,11:26:22"
153.25,1358.26,"2022,05,30,11:26:23"
153.25,1359.26,"2022,05,30,11:26:24"
152.75,1360.26,"2022,05,30,11:26:25"
153,1361.26,"2022,05,30,11:26:26"
153.25,1362.27,"2022,05,30,11:26:27"
153.75,1363.27,"2022,05,30,11:26:28"
153,1364.27,"2022,05,30,11:26:29"
153.25,1365.27,"2022,05,30,11:26:30"
154,1366.27,"2022,05,30,11:26:31"
154,1367.27,"2022,05,30,11:26:32"
154,1368.28,"2022,05,30,11:26:33"
154.25,1369.28,"2022,05,30,11:26:34"
153.75,1370.28,"2022,05,30,11:26:35"
154,1371.28,"2022,05,30,11:26:36"
154.5,1372.28,"2022,05,30,11:26:37"
154.25,1373.28,"2022,05,30,11:26:38"
154.75,1374.29,"2022,05,30,11:26:39"
154.5,1375.29,"2022,05,30,11:26:40"
154.25,1376.29,"2022,05,30,11:26:41"
154.5,1377.29,"2022,05,30,11:26:42"
155,1378.29,"2022,05,30,11:26:43"
155.25,1379.29,"2022,05,30,11:26:44"
155.25,1380.3,"2022,05,30,11:26:45"
155.25,1381.3,"2022,05,30,11:26:46"
155.5,1382.3,"2022,05,30,11:26:47"
155,1383.3,"2022,05,30,11:26:48"
155.75,1384.3,"2022,05,30,11:26:49"
156,1385.3,"2022,05,30,11:26:50"
155.25,1386.31,"2022,05,30,11:26:51"
156,1387.31,"2022,05,30,11:26:52"
156.25,1388.31,"2022,05,30,11:26:53"
156.25,1389.31,"2022,05,30,11:26:54"
155.75,1390.31,"2022,05,30,11:26:55"
155.75,1391.31,"2022,05,30,11:26:56"
155.75,1392.31,"2022,05,30,11:26:57"
156.5,1393.32,"2022,05,30,11:26:58"
156.25,1394.32,"2022,05,30,11:26:59"
156.5,1395.32,"2022,05,30,11:27:00"
156.5,1396.32,"2022,05,30,11:27:01"
156.75,1397.32,"2022,05,30,11:27:02"
157,1398.32,"2022,05,30,11:27:03"
156.5,1399.33,"2022,05,30,11:27:04"
157,1400.33,"2022,05,30,11:27:05"
157.5,1401.33,"2022,05,30,11:27:06"
157,1402.33,"2022,05,30,11:27:07"
157.5,1403.33,"2022,05,30,11:27:08"
157.5,1404.33,"2022,05,30,11:27:09"
157.25,1405.34,"2022,05,30,11:27:10"
157,1406.34,"2022,05,30,11:27:11"
157.75,1407.34,"2022,05,30,11:27:12"
158,1408.34,"2022,05,30,11:27:13"
158.25,1409.34,"2022,05,30,11:27:14"
157.5,1410.34,"2022,05,30,11:27:15"
158,1411.35,"2022,05,30,11:27:16"
157.75,1412.35,"2022,05,30,11:27:17"
158,1413.35,"2022,05,30,11:27:18"
158.5,1414.35,"2022,05,30,11:27:19"
158,1415.35,"2022,05,30,11:27:20"
158.25,1416.35,"2022,05,30,11:27:21"
158.75,1417.35,"2022,05,30,11:27:22"
158.5,1418.36,"2022,05,30,11:27:23"
158.5,1419.36,"2022,05,30,11:27:24"
159,1420.36,"2022,05,30,11:27:25"
159.25,1421.36,"2022,05,30,11:27:26"
158.75,1422.36,"2022,05,30,11:27:27"
159.5,1423.36,"2022,05,30,11:27:28"
159,1424.37,"2022,05,30,11:27:29"
159.5,1425.37,"2022,05,30,11:27:30"
159.75,1426.37,"2022,05,30,11:27:31"
159.75,1427.37,"2022,05,30,11:27:32"
159.25,1428.37,"2022,05,30,11:27:33"
160.25,1429.38,"2022,05,30,11:27:34"
159.75,1430.38,"2022,05,30,11:27:35"
160,1431.38,"2022,05,30,11:27:36"
159.75,1432.39,"2022,05,30,11:27:37"
160.5,1433.39,"2022,05,30,11:27:38"
160,1434.39,"2022,05,30,11:27:39"
160,1435.39,"2022,05,30,11:27:40"
160.25,1436.39,"2022,05,30,11:27:41"
160.5,1437.39,"2022,05,30,11:27:42"
160.25,1438.4,"2022,05,30,11:27:43"
160.5,1439.4,"2022,05,30,11:27:44"
161,1440.4,"2022,05,30,11:27:45"
160.25,1441.4,"2022,05,30,11:27:46"
161,1442.4,"2022,05,30,11:27:47"
161,1443.4,"2022,05,30,11:27:48"
160.75,1444.41,"2022,05,30,11:27:49"
160.75,1445.41,"2022,05,30,11:27:50"
160.5,1446.41,"2022,05,30,11:27:51"
160.25,1447.41,"2022,05,30,11:27:52"
160,1448.41,"2022,05,30,11:27:53"
160.25,1449.41,"2022,05,30,11:27:54"
160,1450.42,"2022,05,30,11:27:55"
160.5,1451.42,"2022,05,30,11:27:56"
160.25,1452.42,"2022,05,30,11:27:57"
160.25,1453.42,"2022,05,30,11:27:58"
159.75,1454.42,"2022,05,30,11:27:59"
160.25,1455.42,"2022,05,30,11:28:00"
159.5,1456.43,"2022,05,30,11:28:01"
160.25,1457.43,"2022,05,30,11:28:02"
159.5,1458.43,"2022,05,30,11:28:03"
160,1459.43,"2022,05,30,11:28:04"
160,1460.43,"2022,05,30,11:28:05"
160.25,1461.44,"2022,05,30,11:28:06"
159.25,1462.44,"2022,05,30,11:28:07"
159.75,1463.44,"2022,05,30,11:28:08"
159.75,1464.44,"2022,05,30,11:28:09"
160,1465.44,"2022,05,30,11:28:10"
159.5,1466.44,"2022,05,30,11:28:11"
160,1467.44,"2022,05,30,11:28:12"
159,1468.45,"2022,05,30,11:28:13"
159.25,1469.45,"2022,05,30,11:28:14"
159.25,1470.45,"2022,05,30,11:28:15"
159.75,1471.45,"2022,05,30,11:28:16"
159.25,1472.45,"2022,05,30,11:28:17"
159,1473.45,"2022,05,30,11:28:18"
159.75,1474.46,"2022,05,30,11:28:19"
159,1475.46,"2022,05,30,11:28:20"
159.25,1476.46,"2022,05,30,11:28:21"
159.75,1477.46,"2022,05,30,11:28:22"
159.25,1478.46,"2022,05,30,11:28:23"
159.75,1479.46,"2022,05,30,11:28:24"
159.75,1480.47,"2022,05,30,11:28:25"
160,1481.47,"2022,05,30,11:28:26"
159,1482.47,"2022,05,30,11:28:27"
159.5,1483.47,"2022,05,30,11:28:28"
160,1484.47,"2022,05,30,11:28:29"
159.5,1485.48,"2022,05,30,11:28:30"
159.75,1486.48,"2022,05,30,11:28:31"
160,1487.48,"2022,05,30,11:28:32"
160,1488.48,"2022,05,30,11:28:33"
160.5,1489.48,"2022,05,30,11:28:34"
160,1490.48,"2022,05,30,11:28:35"
159.75,1491.49,"2022,05,30,11:28:36"
160.25,1492.49,"2022,05,30,11:28:37"
160,1493.49,"2022,05,30,11:28:38"
160.75,1494.49,"2022,05,30,11:28:39"
160.25,1495.49,"2022,05,30,11:28:40"
160.5,1496.5,"2022,05,30,11:28:41"
160,1497.5,"2022,05,30,11:28:42"
160.25,1498.5,"2022,05,30,11:28:43"
160.5,1499.5,"2022,05,30,11:28:44"
160.5,1500.5,"2022,05,30,11:28:45"
160.5,1501.5,"2022,05,30,11:28:46"
160.25,1502.51,"2022,05,30,11:28:47"
160.5,1503.51,"2022,05,30,11:28:48"
160,1504.51,"2022,05,30,11:28:49"
160,1505.51,"2022,05,30,11:28:50"
160,1506.51,"2022,05,30,11:28:51"
160.5,1507.51,"2022,05,30,11:28:52"
160,1508.52,"2022,05,30,11:28:53"
160.5,1509.52,"2022,05,30,11:28:54"
160.5,1510.52,"2022,05,30,11:28:55"
160.25,1511.52,"2022,05,30,11:28:56"
159.75,1512.52,"2022,05,30,11:28:57"
160.25,1513.52,"2022,05,30,11:28:58"
159.5,1514.53,"2022,05,30,11:28:59"
160.5,1515.53,"2022,05,30,11:29:00"
159.5,1516.53,"2022,05,30,11:29:01"
160.25,1517.53,"2022,05,30,11:29:02"
160,1518.53,"2022,05,30,11:29:03"
160,1519.53,"2022,05,30,11:29:04"
160,1520.54,"2022,05,30,11:29:05"
160,1521.54,"2022,05,30,11:29:06"
159.25,1522.54,"2022,05,30,11:29:07"
160,1523.54,"2022,05,30,11:29:08"
159.25,1524.54,"2022,05,30,11:29:09"
160,1525.55,"2022,05,30,11:29:10"
159.25,1526.55,"2022,05,30,11:29:11"
160,1527.55,"2022,05,30,11:29:12"
159.25,1528.55,"2022,05,30,11:29:13"
160,1529.55,"2022,05,30,11:29:14"
160,1530.55,"2022,05,30,11:29:15"
160,1531.56,"2022,05,30,11:29:16"
159.25,1532.56,"2022,05,30,11:29:17"
160.25,1533.56,"2022,05,30,11:29:18"
159.5,1534.56,"2022,05,30,11:29:19"
160.25,1535.56,"2022,05,30,11:29:20"
160,1536.56,"2022,05,30,11:29:21"
159.25,1537.57,"2022,05,30,11:29:22"
159.75,1538.57,"2022,05,30,11:29:23"
159.25,1539.57,"2022,05,30,11:29:24"
159.75,1540.57,"2022,05,30,11:29:25"
159.75,1541.57,"2022,05,30,11:29:26"
160.25,1542.57,"2022,05,30,11:29:27"
160,1543.58,"2022,05,30,11:29:28"
159.5,1544.58,"2022,05,30,11:29:29"
160,1545.58,"2022,05,30,11:29:30"
160,1546.58,"2022,05,30,11:29:31"
159.5,1547.58,"2022,05,30,11:29:32"
159.5,1548.58,"2022,05,30,11:29:33"
160,1549.59,"2022,05,30,11:29:34"
159.75,1550.59,"2022,05,30,11:29:35"
159.75,1551.59,"2022,05,30,11:29:36"
160,1552.59,"2022,05,30,11:29:37"
160.25,1553.59,"2022,05,30,11:29:38"
159.5,1554.59,"2022,05,30,11:29:39"
160,1555.6,"2022,05,30,11:29:40"
160,1556.6,"2022,05,30,11:29:41"
159.75,1557.6,"2022,05,30,11:29:42"
159.75,1558.6,"2022,05,30,11:29:43"
160.25,1559.6,"2022,05,30,11:29:44"
159.75,1560.61,"2022,05,30,11:29:45"
160.5,1561.61,"2022,05,30,11:29:46"
160.25,1562.61,"2022,05,30,11:29:47"
159.75,1563.61,"2022,05,30,11:29:48"
160.5,1564.61,"2022,05,30,11:29:49"
159.75,1565.61,"2022,05,30,11:29:50"
160,1566.62,"2022,05,30,11:29:51"
160.25,1567.62,"2022,05,30,11:29:52"
160.75,1568.62,"2022,05,30,11:29:53"
160,1569.62,"2022,05,30,11:29:54"
160,1570.62,"2022,05,30,11:29:55"
160,1571.63,"2022,05,30,11:29:56"
160.5,1572.63,"2022,05,30,11:29:57"
160.5,1573.63,"2022,05,30,11:29:58"
160,1574.63,"2022,05,30,11:29:59"
160.25,1575.63,"2022,05,30,11:30:00"
160.25,1576.63,"2022,05,30,11:30:01"
160,1577.64,"2022,05,30,11:30:02"
160.5,1578.64,"2022,05,30,11:30:03"
160,1579.64,"2022,05,30,11:30:04"
160.25,1580.64,"2022,05,30,11:30:05"
160,1581.64,"2022,05,30,11:30:06"
160.75,1582.64,"2022,05,30,11:30:07"
160.25,1583.65,"2022,05,30,11:30:08"
159.75,1584.65,"2022,05,30,11:30:09"
160.75,1585.65,"2022,05,30,11:30:10"
160.25,1586.65,"2022,05,30,11:30:11"
159.75,1587.65,"2022,05,30,11:30:12"
160.25,1588.65,"2022,05,30,11:30:13"
159.75,1589.66,"2022,05,30,11:30:14"
160.5,1590.66,"2022,05,30,11:30:15"
160.5,1591.66,"2022,05,30,11:30:16"
160.5,1592.66,"2022,05,30,11:30:17"
160.25,1593.66,"2022,05,30,11:30:18"
159.75,1594.67,"2022,05,30,11:30:19"
160,1595.67,"2022,05,30,11:30:20"
159.75,1596.67,"2022,05,30,11:30:21"
160.5,1597.67,"2022,05,30,11:30:22"
159.75,1598.67,"2022,05,30,11:30:23"
159.75,1599.67,"2022,05,30,11:30:24"
160.25,1600.68,"2022,05,30,11:30:25"
159.5,1601.68,"2022,05,30,11:30:26"
159.5,1602.68,"2022,05,30,11:30:27"
160,1603.68,"2022,05,30,11:30:28"
159.5,1604.68,"2022,05,30,11:30:29"
159.75,1605.68,"2022,05,30,11:30:30"
160.25,1606.69,"2022,05,30,11:30:31"
160,1607.69,"2022,05,30,11:30:32"
159.75,1608.69,"2022,05,30,11:30:33"
159.5,1609.69,"2022,05,30,11:30:34"
159.5,1610.69,"2022,05,30,11:30:35"
159.75,1611.7,"2022,05,30,11:30:36"
160,1612.7,"2022,05,30,11:30:37"
159.75,1613.7,"2022,05,30,11:30:38"
160.25,1614.7,"2022,05,30,11:30:39"
160,1615.7,"2022,05,30,11:30:40"
159.75,1616.7,"2022,05,30,11:30:41"
160.25,1617.71,"2022,05,30,11:30:42"
160.5,1618.71,"2022,05,30,11:30:43"
160.25,1619.71,"2022,05,30,11:30:44"
160.25,1620.71,"2022,05,30,11:30:45"
160,1621.71,"2022,05,30,11:30:46"
160.25,1622.71,"2022,05,30,11:30:47"
160.5,1623.72,"2022,05,30,11:30:48"
160.75,1624.72,"2022,05,30,11:30:49"
161,1625.72,"2022,05,30,11:30:50"
160.75,1626.72,"2022,05,30,11:30:51"
160.5,1627.72,"2022,05,30,11:30:52"
161.25,1628.72,"2022,05,30,11:30:53"
161.25,1629.73,"2022,05,30,11:30:54"
161.5,1630.73,"2022,05,30,11:30:55"
160.75,1631.73,"2022,05,30,11:30:56"
161.5,1632.73,"2022,05,30,11:30:57"
161,1633.73,"2022,05,30,11:30:58"
161,1634.73,"2022,05,30,11:30:59"
161.5,1635.74,"2022,05,30,11:31:00"
161.75,1636.74,"2022,05,30,11:31:01"
161.75,1637.74,"2022,05,30,11:31:02"
162.25,1638.74,"2022,05,30,11:31:03"
162.25,1639.74,"2022,05,30,11:31:04"
161.75,1640.74,"2022,05,30,11:31:05"
162,1641.75,"2022,05,30,11:31:06"
162.75,1642.75,"2022,05,30,11:31:07"
162.75,1643.75,"2022,05,30,11:31:08"
162.75,1644.75,"2022,05,30,11:31:09"
162.75,1645.75,"2022,05,30,11:31:10"
162.75,1646.75,"2022,05,30,11:31:11"
162.5,1647.76,"2022,05,30,11:31:12"
162.5,1648.76,"2022,05,30,11:31:13"
163.25,1649.76,"2022,05,30,11:31:14"
162.75,1650.76,"2022,05,30,11:31:15"
162.75,1651.76,"2022,05,30,11:31:16"
163,1652.76,"2022,05,30,11:31:17"
163.25,1653.77,"2022,05,30,11:31:18"
163.5,1654.77,"2022,05,30,11:31:19"
163.5,1655.77,"2022,05,30,11:31:20"
163.5,1656.77,"2022,05,30,11:31:21"
163.5,1657.77,"2022,05,30,11:31:22"
163.75,1658.77,"2022,05,30,11:31:23"
164.5,1659.78,"2022,05,30,11:31:24"
164.5,1660.78,"2022,05,30,11:31:25"
164.75,1661.78,"2022,05,30,11:31:26"
164.5,1662.78,"2022,05,30,11:31:27"
164.5,1663.78,"2022,05,30,11:31:28"
164.5,1664.78,"2022,05,30,11:31:29"
165.25,1665.79,"2022,05,30,11:31:30"
165.25,1666.79,"2022,05,30,11:31:31"
165,1667.79,"2022,05,30,11:31:32"
165.5,1668.79,"2022,05,30,11:31:33"
165.25,1669.79,"2022,05,30,11:31:34"
165.75,1670.79,"2022,05,30,11:31:35"
165.75,1671.8,"2022,05,30,11:31:36"
165.75,1672.8,"2022,05,30,11:31:37"
166.25,1673.8,"2022,05,30,11:31:38"
166,1674.8,"2022,05,30,11:31:39"
166,1675.8,"2022,05,30,11:31:40"
166.25,1676.8,"2022,05,30,11:31:41"
166,1677.81,"2022,05,30,11:31:42"
166,1678.81,"2022,05,30,11:31:43"
166.75,1679.81,"2022,05,30,11:31:44"
166.25,1680.81,"2022,05,30,11:31:45"
166.5,1681.81,"2022,05,30,11:31:46"
166.5,1682.81,"2022,05,30,11:31:47"
167,1683.81,"2022,05,30,11:31:48"
166.75,1684.82,"2022,05,30,11:31:49"
167.5,1685.82,"2022,05,30,11:31:50"
167.75,1686.82,"2022,05,30,11:31:51"
167,1687.82,"2022,05,30,11:31:52"
167.5,1688.82,"2022,05,30,11:31:53"
167.5,1689.82,"2022,05,30,11:31:54"
167.5,1690.83,"2022,05,30,11:31:55"
167.75,1691.83,"2022,05,30,11:31:56"
167.75,1692.83,"2022,05,30,11:31:57"
168.5,1693.83,"2022,05,30,11:31:58"
168.25,1694.83,"2022,05,30,11:31:59"
168,1695.83,"2022,05,30,11:32:00"
168,1696.84,"2022,05,30,11:32:01"
168.75,1697.84,"2022,05,30,11:32:02"
168.25,1698.84,"2022,05,30,11:32:03"
168.25,1699.84,"2022,05,30,11:32:04"
168.25,1700.84,"2022,05,30,11:32:05"
168.5,1701.84,"2022,05,30,11:32:06"
169,1702.85,"2022,05,30,11:32:07"
169.5,1703.85,"2022,05,30,11:32:08"
169.5,1704.85,"2022,05,30,11:32:09"
169,1705.85,"2022,05,30,11:32:10"
169.5,1706.85,"2022,05,30,11:32:11"
169,1707.85,"2022,05,30,11:32:12"
169.75,1708.86,"2022,05,30,11:32:13"
169.75,1709.86,"2022,05,30,11:32:14"
169.25,1710.86,"2022,05,30,11:32:15"
169.75,1711.86,"2022,05,30,11:32:16"
169.75,1712.86,"2022,05,30,11:32:17"
170.5,1713.86,"2022,05,30,11:32:18"
170.5,1714.87,"2022,05,30,11:32:19"
170,1715.87,"2022,05,30,11:32:20"
170.75,1716.87,"2022,05,30,11:32:21"
170.25,1717.87,"2022,05,30,11:32:22"
171,1718.87,"2022,05,30,11:32:23"
170.5,1719.87,"2022,05,30,11:32:24"
170.5,1720.88,"2022,05,30,11:32:25"
170.75,1721.88,"2022,05,30,11:32:26"
170.75,1722.88,"2022,05,30,11:32:27"
171,1723.88,"2022,05,30,11:32:28"
171.5,1724.88,"2022,05,30,11:32:29"
171.5,1725.88,"2022,05,30,11:32:30"
171.5,1726.89,"2022,05,30,11:32:31"
171,1727.89,"2022,05,30,11:32:32"
171.25,1728.89,"2022,05,30,11:32:33"
171.5,1729.89,"2022,05,30,11:32:34"
172,1730.89,"2022,05,30,11:32:35"
172,1731.89,"2022,05,30,11:32:36"
171.5,1732.9,"2022,05,30,11:32:37"
171.75,1733.9,"2022,05,30,11:32:38"
172.25,1734.9,"2022,05,30,11:32:39"
172.5,1735.9,"2022,05,30,11:32:40"
172,1736.9,"2022,05,30,11:32:41"
172.25,1737.9,"2022,05,30,11:32:42"
173,1738.91,"2022,05,30,11:32:43"
172.5,1739.91,"2022,05,30,11:32:44"
172.5,1740.91,"2022,05,30,11:32:45"
172.5,1741.91,"2022,05,30,11:32:46"
173,1742.91,"2022,05,30,11:32:47"
173.25,1743.91,"2022,05,30,11:32:48"
172.75,1744.92,"2022,05,30,11:32:49"
173.75,1745.92,"2022,05,30,11:32:50"
173,1746.92,"2022,05,30,11:32:52"
173,1747.92,"2022,05,30,11:32:53"
173.25,1748.92,"2022,05,30,11:32:53"
173.75,1749.92,"2022,05,30,11:32:55"
173.5,1750.93,"2022,05,30,11:32:55"
173.75,1751.93,"2022,05,30,11:32:57"
173.5,1752.93,"2022,05,30,11:32:58"
174,1753.93,"2022,05,30,11:32:59"
173.75,1754.93,"2022,05,30,11:33:00"
173.75,1755.93,"2022,05,30,11:33:01"
174.5,1756.94,"2022,05,30,11:33:02"
174.5,1757.94,"2022,05,30,11:33:02"
174.25,1758.94,"2022,05,30,11:33:04"
175,1759.94,"2022,05,30,11:33:05"
175,1760.94,"2022,05,30,11:33:06"
175,1761.94,"2022,05,30,11:33:07"
175,1762.94,"2022,05,30,11:33:08"
175.25,1763.95,"2022,05,30,11:33:09"
175,1764.95,"2022,05,30,11:33:10"
175.25,1765.95,"2022,05,30,11:33:11"
174.75,1766.95,"2022,05,30,11:33:12"
175.5,1767.95,"2022,05,30,11:33:13"
175.75,1768.95,"2022,05,30,11:33:14"
175.5,1769.96,"2022,05,30,11:33:15"
175.5,1770.96,"2022,05,30,11:33:16"
175.75,1771.96,"2022,05,30,11:33:17"
175.5,1772.96,"2022,05,30,11:33:18"
175.5,1773.96,"2022,05,30,11:33:19"
176.25,1774.96,"2022,05,30,11:33:20"
176,1775.97,"2022,05,30,11:33:21"
175.75,1776.97,"2022,05,30,11:33:22"
176.5,1777.97,"2022,05,30,11:33:23"
176.75,1778.97,"2022,05,30,11:33:24"
176.75,1779.97,"2022,05,30,11:33:25"
177,1780.97,"2022,05,30,11:33:26"
176.5,1781.98,"2022,05,30,11:33:27"
176.75,1782.98,"2022,05,30,11:33:28"
177.25,1783.98,"2022,05,30,11:33:29"
176.75,1784.98,"2022,05,30,11:33:30"
177.25,1785.98,"2022,05,30,11:33:31"
176.75,1786.98,"2022,05,30,11:33:32"
176.75,1787.99,"2022,05,30,11:33:33"
177.5,1788.99,"2022,05,30,11:33:34"
177.25,1789.99,"2022,05,30,11:33:35"
177.75,1790.99,"2022,05,30,11:33:36"
177.25,1791.99,"2022,05,30,11:33:37"
178,1793,"2022,05,30,11:33:38"
178,1794,"2022,05,30,11:33:39"
178,1795,"2022,05,30,11:33:40"
178,1796,"2022,05,30,11:33:41"
177.5,1797,"2022,05,30,11:33:42"
178.5,1798,"2022,05,30,11:33:43"
178,1799,"2022,05,30,11:33:44"
178.5,1800.01,"2022,05,30,11:33:45"
178.75,1801.01,"2022,05,30,11:33:46"
178.5,1802.01,"2022,05,30,11:33:47"
178.5,1803.01,"2022,05,30,11:33:48"
178.75,1804.01,"2022,05,30,11:33:49"
178.75,1805.01,"2022,05,30,11:33:50"
178.75,1806.02,"2022,05,30,11:33:51"
178.5,1807.02,"2022,05,30,11:33:52"
179.25,1808.02,"2022,05,30,11:33:53"
178.75,1809.02,"2022,05,30,11:33:54"
179.25,1810.02,"2022,05,30,11:33:55"
179.5,1811.02,"2022,05,30,11:33:56"
178.75,1812.03,"2022,05,30,11:33:57"
179.75,1813.03,"2022,05,30,11:33:58"
179.25,1814.03,"2022,05,30,11:33:59"
179.25,1815.03,"2022,05,30,11:34:00"
179.5,1816.03,"2022,05,30,11:34:01"
179.5,1817.03,"2022,05,30,11:34:02"
180,1818.04,"2022,05,30,11:34:03"
179.75,1819.04,"2022,05,30,11:34:04"
180,1820.04,"2022,05,30,11:34:05"
180.25,1821.04,"2022,05,30,11:34:06"
180.25,1822.04,"2022,05,30,11:34:07"
180.5,1823.04,"2022,05,30,11:34:08"
180.5,1824.05,"2022,05,30,11:34:09"
180.75,1825.05,"2022,05,30,11:34:10"
181,1826.05,"2022,05,30,11:34:11"
180.25,1827.05,"2022,05,30,11:34:12"
180.25,1828.05,"2022,05,30,11:34:13"
180.25,1829.05,"2022,05,30,11:34:14"
180.25,1830.06,"2022,05,30,11:34:15"
180.25,1831.06,"2022,05,30,11:34:16"
181.25,1832.06,"2022,05,30,11:34:17"
180.5,1833.06,"2022,05,30,11:34:18"
