T,t
75.29026970640793,555.0
75.79999789485363,556.0
75.29026970640793,557.0
75.29026970640793,558.0
75.29026970640793,559.0
76.05486198907649,560.0
75.79999789485363,561.0
75.03540561218507,562.0
75.79999789485363,563.0
75.79999789485363,564.0
75.79999789485363,565.0
76.05486198907649,566.0
75.29026970640793,567.0
76.05486198907649,568.0
75.54513380063078,569.0
76.05486198907649,570.0
75.79999789485363,571.0
76.05486198907649,572.0
75.79999789485363,573.0
75.54513380063078,574.0
76.05486198907649,575.0
76.30972608329935,576.0
75.54513380063078,577.0
75.54513380063078,578.0
75.29026970640793,579.0
75.79999789485363,580.0
75.29026970640793,581.0
75.54513380063078,582.0
75.29026970640793,583.0
76.05486198907649,584.0
75.03540561218507,585.0
76.05486198907649,586.0
75.29026970640793,587.0
75.54513380063078,588.0
76.05486198907649,589.0
76.30972608329935,590.0
75.54513380063078,591.0
76.05486198907649,592.0
76.05486198907649,593.0
75.54513380063078,594.0
76.05486198907649,595.0
76.05486198907649,596.0
75.54513380063078,597.0
75.29026970640793,598.0
75.54513380063078,599.0
75.29026970640793,600.0
76.05486198907649,601.0
75.79999789485363,602.0
75.54513380063078,603.0
75.79999789485363,604.0
75.29026970640793,605.0
75.29026970640793,606.0
75.79999789485363,607.0
75.54513380063078,608.0
76.05486198907649,609.0
76.05486198907649,610.0
75.29026970640793,611.0
76.05486198907649,612.0
75.54513380063078,613.0
75.29026970640793,614.0
75.29026970640793,615.0
76.30972608329935,616.0
75.54513380063078,617.0
75.79999789485363,618.0
75.79999789485363,619.0
76.5645901775222,620.0
76.05486198907649,621.0
76.30972608329935,622.0
76.81945427174506,623.0
76.30972608329935,624.0
76.5645901775222,625.0
76.81945427174506,626.0
77.32918246019076,627.0
76.81945427174506,628.0
76.81945427174506,629.0
76.81945427174506,630.0
77.83891064863647,631.0
78.09377474285934,632.0
77.32918246019076,633.0
78.34863883708219,634.0
77.58404655441362,635.0
78.60350293130504,636.0
78.60350293130504,637.0
78.34863883708219,638.0
79.11323111975075,639.0
78.60350293130504,640.0
78.60350293130504,641.0
79.3680952139736,642.0
79.62295930819647,643.0
79.62295930819647,644.0
79.11323111975075,645.0
79.3680952139736,646.0
80.13268749664218,647.0
79.87782340241932,648.0
80.89727977931074,649.0
80.64241568508788,650.0
80.38755159086503,651.0
81.40700796775646,652.0
80.64241568508788,653.0
80.89727977931074,654.0
81.66187206197931,655.0
82.17160025042502,656.0
82.17160025042502,657.0
81.66187206197931,658.0
81.66187206197931,659.0
82.42646434464787,660.0
82.68132843887072,661.0
82.17160025042502,662.0
83.19105662731644,663.0
83.19105662731644,664.0
83.4459207215393,665.0
83.4459207215393,666.0
83.70078481576215,667.0
83.19105662731644,668.0
84.21051300420785,669.0
83.70078481576215,670.0
84.21051300420785,671.0
84.46537709843072,672.0
84.97510528687643,673.0
85.22996938109928,674.0
84.97510528687643,675.0
85.73969756954499,676.0
85.22996938109928,677.0
85.22996938109928,678.0
85.99456166376784,679.0
86.50428985221356,680.0
85.99456166376784,681.0
86.50428985221356,682.0
86.75915394643641,683.0
86.2494257579907,684.0
86.75915394643641,685.0
87.01401804065927,686.0
87.01401804065927,687.0
87.52374622910497,688.0
87.77861032332784,689.0
87.77861032332784,690.0
87.52374622910497,691.0
87.52374622910497,692.0
87.52374622910497,693.0
88.5432026059964,694.0
88.79806670021925,695.0
88.28833851177355,696.0
89.0529307944421,697.0
88.5432026059964,698.0
88.79806670021925,699.0
89.0529307944421,700.0
89.81752307711068,701.0
89.81752307711068,702.0
89.30779488866496,703.0
89.81752307711068,704.0
89.81752307711068,705.0
89.81752307711068,706.0
90.07238717133353,707.0
90.58211535977924,708.0
90.58211535977924,709.0
91.09184354822496,710.0
90.83697945400209,711.0
90.83697945400209,712.0
90.83697945400209,713.0
