"t","relay","T"
131,0,35.5314710076425
132,0,35.2766069134196
133,0,35.2766069134196
134,0,34.7668787249739
135,0,34.5120146307511
136,0,35.5314710076425
137,1,35.2766069134196
138,0,35.0217428191968
139,0,35.0217428191968
140,0,35.0217428191968
141,0,34.5120146307511
142,0,35.5314710076425
143,1,35.2766069134196
144,0,34.5120146307511
145,0,35.5314710076425
146,1,35.2766069134196
147,0,35.2766069134196
148,0,35.2766069134196
149,0,34.7668787249739
150,0,34.7668787249739
151,0,34.5120146307511
152,0,35.0217428191968
153,1,35.2766069134196
154,0,35.0217428191968
155,0,35.2766069134196
156,0,35.2766069134196
157,0,35.5314710076425
158,0,35.2766069134196
159,0,35.0217428191968
160,0,35.0217428191968
161,0,35.2766069134196
162,0,35.2766069134196
163,0,35.5314710076425
164,0,35.2766069134196
165,0,35.0217428191968
166,0,35.7863351018654
167,0,35.5314710076425
168,0,35.5314710076425
169,0,34.7668787249739
170,0,35.0217428191968
171,0,35.0217428191968
172,0,35.0217428191968
173,0,35.5314710076425
174,0,35.0217428191968
175,0,35.0217428191968
176,0,35.2766069134196
177,0,35.0217428191968
178,0,35.0217428191968
179,0,35.0217428191968
180,0,35.5314710076425
181,0,35.0217428191968
182,0,35.5314710076425
183,0,35.7863351018654
184,0,35.2766069134196
185,0,35.5314710076425
186,0,35.0217428191968
187,0,34.7668787249739
188,0,35.0217428191968
189,0,35.5314710076425
190,0,35.0217428191968
191,0,35.0217428191968
192,0,34.7668787249739
193,0,35.5314710076425
194,0,34.7668787249739
195,0,35.0217428191968
196,0,34.7668787249739
197,0,34.7668787249739
198,0,35.5314710076425
199,0,34.7668787249739
200,0,35.5314710076425
201,0,35.5314710076425
202,0,34.7668787249739
203,0,34.7668787249739
204,0,35.5314710076425
205,1,35.0217428191968
206,1,35.2766069134196
207,1,35.5314710076425
208,1,35.5314710076425
209,1,34.7668787249739
210,1,35.0217428191968
211,1,35.2766069134196
212,1,35.5314710076425
213,1,35.7863351018654
214,1,35.7863351018654
215,1,36.2960632903111
216,1,35.5314710076425
217,1,36.0411991960882
218,1,36.5509273845339
219,1,36.5509273845339
220,1,36.5509273845339
221,1,36.2960632903111
222,1,36.5509273845339
223,1,37.0606555729796
224,1,36.5509273845339
225,1,37.5703837614253
226,1,38.080111949871
227,1,37.3155196672025
228,1,38.3349760440939
229,1,38.3349760440939
230,1,37.8252478556482
231,1,38.5898401383168
232,1,38.5898401383168
233,1,39.0995683267625
234,1,39.3544324209853
235,1,39.0995683267625
236,1,39.3544324209853
237,1,40.3738887978768
238,1,40.1190247036539
239,1,40.3738887978768
240,1,40.1190247036539
241,1,41.1384810805453
242,1,41.3933451747682
243,1,40.6287528920996
244,1,41.1384810805453
245,1,42.1579374574367
246,1,41.648209268991
247,1,41.648209268991
248,1,41.9030733632139
249,1,42.9225297401053
250,1,42.9225297401053
251,1,43.432257928551
252,1,43.432257928551
253,1,43.9419861169967
254,1,43.6871220227739
255,1,43.9419861169967
256,1,44.4517143054424
257,1,43.9419861169967
258,1,44.4517143054424
259,1,44.4517143054424
260,1,44.9614424938881
261,1,44.9614424938881
262,1,45.7260347765567
263,1,45.9808988707796
264,1,45.9808988707796
265,1,46.4906270592253
266,1,45.9808988707796
267,1,46.7454911534481
268,1,47.2552193418938
269,1,47.000355247671
270,1,47.5100834361167
271,1,47.000355247671
272,1,47.2552193418938
273,1,47.2552193418938
274,1,48.2746757187853
275,1,48.0198116245624
276,1,48.2746757187853
277,1,48.5295398130081
