,"T",,"date"
,80.97,297.07,"2022,05,31,10:47:15"
,80.71,298.1,"2022,05,31,10:47:16"
,81.48,299.1,"2022,05,31,10:47:17"
,81.73,300.1,"2022,05,31,10:47:18"
,80.97,301.1,"2022,05,31,10:47:19"
,80.71,302.1,"2022,05,31,10:47:20"
,80.71,303.13,"2022,05,31,10:47:21"
,80.97,304.13,"2022,05,31,10:47:22"
,80.97,305.14,"2022,05,31,10:47:23"
,80.97,306.14,"2022,05,31,10:47:24"
,81.22,307.14,"2022,05,31,10:47:25"
,81.48,308.17,"2022,05,31,10:47:26"
,81.48,309.17,"2022,05,31,10:47:27"
,80.71,310.17,"2022,05,31,10:47:28"
,80.97,311.17,"2022,05,31,10:47:29"
,80.97,312.17,"2022,05,31,10:47:30"
,80.97,313.2,"2022,05,31,10:47:31"
,81.48,314.2,"2022,05,31,10:47:32"
,80.71,315.21,"2022,05,31,10:47:33"
,81.73,316.21,"2022,05,31,10:47:34"
,81.22,317.21,"2022,05,31,10:47:35"
,81.73,318.24,"2022,05,31,10:47:36"
,81.48,319.24,"2022,05,31,10:47:37"
,80.71,320.24,"2022,05,31,10:47:38"
,80.97,321.24,"2022,05,31,10:47:39"
,81.22,322.25,"2022,05,31,10:47:40"
,80.71,323.27,"2022,05,31,10:47:41"
,80.71,324.28,"2022,05,31,10:47:42"
,80.71,325.28,"2022,05,31,10:47:43"
,80.71,326.28,"2022,05,31,10:47:44"
,80.97,327.28,"2022,05,31,10:47:45"
,81.22,328.31,"2022,05,31,10:47:46"
,81.48,329.31,"2022,05,31,10:47:47"
,81.48,330.31,"2022,05,31,10:47:48"
,80.97,331.31,"2022,05,31,10:47:49"
,80.71,332.32,"2022,05,31,10:47:50"
,80.2,333.35,"2022,05,31,10:47:51"
,80.71,334.35,"2022,05,31,10:47:52"
,80.46,335.35,"2022,05,31,10:47:53"
,80.2,336.35,"2022,05,31,10:47:54"
,81.22,337.35,"2022,05,31,10:47:55"
,81.22,338.38,"2022,05,31,10:47:56"
,80.46,339.38,"2022,05,31,10:47:57"
,81.22,340.38,"2022,05,31,10:47:58"
,80.2,341.39,"2022,05,31,10:47:59"
,80.2,342.39,"2022,05,31,10:48:00"
,80.2,343.42,"2022,05,31,10:48:01"
,81.22,344.42,"2022,05,31,10:48:02"
,81.22,345.42,"2022,05,31,10:48:03"
,80.71,346.42,"2022,05,31,10:48:04"
,80.2,347.42,"2022,05,31,10:48:05"
,80.71,348.45,"2022,05,31,10:48:06"
,80.2,349.45,"2022,05,31,10:48:07"
,80.2,350.45,"2022,05,31,10:48:08"
,80.71,351.46,"2022,05,31,10:48:09"
,80.2,352.46,"2022,05,31,10:48:10"
,80.71,353.49,"2022,05,31,10:48:11"
,80.2,354.49,"2022,05,31,10:48:12"
