,"T",,"date"
,166.43,1166.69,"2022,05,31,11:01:44"
,165.92,1167.69,"2022,05,31,11:01:45"
,166.68,1168.69,"2022,05,31,11:01:46"
,166.43,1169.72,"2022,05,31,11:01:47"
,166.68,1170.72,"2022,05,31,11:01:48"
,166.17,1171.73,"2022,05,31,11:01:49"
,166.17,1172.73,"2022,05,31,11:01:50"
,166.43,1173.73,"2022,05,31,11:01:51"
,166.43,1174.76,"2022,05,31,11:01:52"
,166.43,1175.77,"2022,05,31,11:01:53"
,167.19,1176.77,"2022,05,31,11:01:54"
,166.94,1177.77,"2022,05,31,11:01:55"
,166.94,1178.77,"2022,05,31,11:01:56"
,167.96,1179.8,"2022,05,31,11:01:57"
,167.45,1180.8,"2022,05,31,11:01:58"
,167.96,1181.81,"2022,05,31,11:01:59"
,167.7,1182.81,"2022,05,31,11:02:00"
,167.7,1183.81,"2022,05,31,11:02:01"
,168.72,1184.84,"2022,05,31,11:02:02"
,168.21,1185.84,"2022,05,31,11:02:03"
,168.21,1186.85,"2022,05,31,11:02:04"
,168.21,1187.85,"2022,05,31,11:02:05"
,168.47,1188.85,"2022,05,31,11:02:06"
,168.47,1189.88,"2022,05,31,11:02:07"
,169.49,1190.89,"2022,05,31,11:02:08"
,168.72,1191.89,"2022,05,31,11:02:09"
,168.47,1192.89,"2022,05,31,11:02:10"
,168.47,1193.89,"2022,05,31,11:02:11"
,169.49,1194.92,"2022,05,31,11:02:12"
,169.49,1195.93,"2022,05,31,11:02:13"
,168.98,1196.93,"2022,05,31,11:02:14"
,168.98,1197.93,"2022,05,31,11:02:15"
,168.72,1198.93,"2022,05,31,11:02:16"
,168.72,1199.96,"2022,05,31,11:02:17"
,168.98,1200.96,"2022,05,31,11:02:18"
,169.49,1201.97,"2022,05,31,11:02:19"
,168.47,1202.97,"2022,05,31,11:02:20"
,168.72,1203.97,"2022,05,31,11:02:21"
,169.49,1205,"2022,05,31,11:02:22"
,168.72,1206,"2022,05,31,11:02:23"
,168.47,1207.01,"2022,05,31,11:02:24"
,168.47,1208.01,"2022,05,31,11:02:25"
,168.72,1209.01,"2022,05,31,11:02:26"
,168.98,1210.04,"2022,05,31,11:02:27"
,169.23,1211.04,"2022,05,31,11:02:28"
,169.23,1212.05,"2022,05,31,11:02:29"
,168.21,1213.05,"2022,05,31,11:02:30"
,168.72,1214.05,"2022,05,31,11:02:31"
,168.21,1215.08,"2022,05,31,11:02:32"
,168.98,1216.08,"2022,05,31,11:02:33"
,168.98,1217.09,"2022,05,31,11:02:34"
,168.72,1218.09,"2022,05,31,11:02:35"
,168.72,1219.09,"2022,05,31,11:02:36"
,168.47,1220.12,"2022,05,31,11:02:37"
,167.96,1221.12,"2022,05,31,11:02:38"
,168.47,1222.13,"2022,05,31,11:02:39"
,168.47,1223.13,"2022,05,31,11:02:40"
,167.7,1224.13,"2022,05,31,11:02:41"
,168.21,1225.16,"2022,05,31,11:02:42"
,168.21,1226.16,"2022,05,31,11:02:44"
,167.96,1227.17,"2022,05,31,11:02:44"
,167.45,1228.17,"2022,05,31,11:02:46"
,167.19,1229.17,"2022,05,31,11:02:46"
,167.7,1230.2,"2022,05,31,11:02:48"
,167.19,1231.2,"2022,05,31,11:02:49"
,167.45,1232.2,"2022,05,31,11:02:50"
,167.45,1233.21,"2022,05,31,11:02:51"
,167.45,1234.21,"2022,05,31,11:02:52"
,166.68,1235.24,"2022,05,31,11:02:53"
,167.45,1236.24,"2022,05,31,11:02:54"
,166.68,1237.24,"2022,05,31,11:02:55"
,166.43,1238.25,"2022,05,31,11:02:56"
,166.17,1239.25,"2022,05,31,11:02:57"
,166.17,1240.28,"2022,05,31,11:02:58"
,166.43,1241.28,"2022,05,31,11:02:59"
,166.68,1242.28,"2022,05,31,11:03:00"
,166.17,1243.29,"2022,05,31,11:03:01"
,165.66,1244.29,"2022,05,31,11:03:02"
,165.41,1245.32,"2022,05,31,11:03:03"
,166.43,1246.32,"2022,05,31,11:03:04"
,165.41,1247.32,"2022,05,31,11:03:05"
,165.41,1248.33,"2022,05,31,11:03:06"
,165.15,1249.33,"2022,05,31,11:03:07"
,165.66,1250.36,"2022,05,31,11:03:08"
,165.92,1251.36,"2022,05,31,11:03:09"
,164.9,1252.36,"2022,05,31,11:03:10"
,164.64,1253.37,"2022,05,31,11:03:11"
,165.41,1254.37,"2022,05,31,11:03:12"
,165.15,1255.4,"2022,05,31,11:03:13"
,165.15,1256.4,"2022,05,31,11:03:14"
,164.64,1257.4,"2022,05,31,11:03:15"
,164.39,1258.41,"2022,05,31,11:03:16"
,164.64,1259.41,"2022,05,31,11:03:17"
,164.9,1260.44,"2022,05,31,11:03:18"
,163.62,1261.44,"2022,05,31,11:03:19"
,164.9,1262.44,"2022,05,31,11:03:20"
,163.88,1263.44,"2022,05,31,11:03:21"
,164.39,1264.45,"2022,05,31,11:03:22"
,164.13,1265.48,"2022,05,31,11:03:23"
,163.88,1266.48,"2022,05,31,11:03:24"
,163.11,1267.48,"2022,05,31,11:03:25"
,163.37,1268.48,"2022,05,31,11:03:26"
,163.37,1269.49,"2022,05,31,11:03:27"
,162.86,1270.52,"2022,05,31,11:03:28"
,162.86,1271.52,"2022,05,31,11:03:29"
,163.11,1272.52,"2022,05,31,11:03:30"
,163.62,1273.52,"2022,05,31,11:03:31"
,162.6,1274.53,"2022,05,31,11:03:32"
,163.37,1275.56,"2022,05,31,11:03:33"
,162.86,1276.56,"2022,05,31,11:03:34"
,162.6,1277.56,"2022,05,31,11:03:35"
,162.6,1278.56,"2022,05,31,11:03:36"
,162.35,1279.57,"2022,05,31,11:03:37"
,163.11,1280.6,"2022,05,31,11:03:38"
,162.86,1281.6,"2022,05,31,11:03:39"
,162.35,1282.6,"2022,05,31,11:03:40"
,162.35,1283.6,"2022,05,31,11:03:41"
,162.86,1284.61,"2022,05,31,11:03:42"
,162.09,1285.64,"2022,05,31,11:03:43"
,163.11,1286.64,"2022,05,31,11:03:44"
,163.11,1287.65,"2022,05,31,11:03:45"
,162.86,1288.65,"2022,05,31,11:03:46"
,162.86,1289.65,"2022,05,31,11:03:47"
,163.11,1290.68,"2022,05,31,11:03:48"
,163.11,1291.69,"2022,05,31,11:03:49"
,162.6,1292.69,"2022,05,31,11:03:50"
,162.86,1293.69,"2022,05,31,11:03:51"
,162.35,1294.69,"2022,05,31,11:03:52"
,162.09,1295.72,"2022,05,31,11:03:53"
,162.86,1296.72,"2022,05,31,11:03:54"
,162.09,1297.73,"2022,05,31,11:03:55"
,162.09,1298.73,"2022,05,31,11:03:56"
,162.35,1299.73,"2022,05,31,11:03:57"
,162.6,1300.76,"2022,05,31,11:03:58"
,162.09,1301.77,"2022,05,31,11:03:59"
,161.84,1302.77,"2022,05,31,11:04:00"
,162.09,1303.77,"2022,05,31,11:04:01"
,162.09,1304.77,"2022,05,31,11:04:02"
,162.35,1305.8,"2022,05,31,11:04:03"
,162.35,1306.8,"2022,05,31,11:04:04"
,162.09,1307.81,"2022,05,31,11:04:05"
,162.09,1308.81,"2022,05,31,11:04:06"
,162.86,1309.81,"2022,05,31,11:04:07"
,162.86,1310.84,"2022,05,31,11:04:08"
,162.6,1311.84,"2022,05,31,11:04:09"
,163.11,1312.85,"2022,05,31,11:04:10"
,163.11,1313.85,"2022,05,31,11:04:11"
,163.37,1314.85,"2022,05,31,11:04:12"
,162.86,1315.88,"2022,05,31,11:04:13"
,163.11,1316.88,"2022,05,31,11:04:14"
,163.37,1317.89,"2022,05,31,11:04:15"
,162.86,1318.89,"2022,05,31,11:04:16"
,163.37,1319.89,"2022,05,31,11:04:17"
,163.88,1320.92,"2022,05,31,11:04:18"
,163.88,1321.92,"2022,05,31,11:04:19"
,163.11,1322.93,"2022,05,31,11:04:20"
,163.88,1323.93,"2022,05,31,11:04:21"
,164.64,1324.93,"2022,05,31,11:04:22"
,164.13,1325.96,"2022,05,31,11:04:23"
,163.62,1326.96,"2022,05,31,11:04:24"
,164.64,1327.96,"2022,05,31,11:04:25"
,164.9,1328.97,"2022,05,31,11:04:26"
,165.15,1329.97,"2022,05,31,11:04:27"
,165.41,1331,"2022,05,31,11:04:28"
,165.41,1332,"2022,05,31,11:04:29"
,164.9,1333.01,"2022,05,31,11:04:30"
,165.66,1334.01,"2022,05,31,11:04:31"
,164.9,1335.01,"2022,05,31,11:04:32"
,165.15,1336.04,"2022,05,31,11:04:33"
,165.66,1337.04,"2022,05,31,11:04:34"
,165.66,1338.04,"2022,05,31,11:04:35"
,165.92,1339.05,"2022,05,31,11:04:36"
,166.17,1340.05,"2022,05,31,11:04:37"
,165.92,1341.08,"2022,05,31,11:04:38"
,166.43,1342.08,"2022,05,31,11:04:39"
,166.68,1343.08,"2022,05,31,11:04:40"
,166.68,1344.08,"2022,05,31,11:04:41"
,167.19,1345.09,"2022,05,31,11:04:42"
,167.45,1346.12,"2022,05,31,11:04:43"
,167.19,1347.12,"2022,05,31,11:04:44"
,166.43,1348.12,"2022,05,31,11:04:45"
,166.94,1349.13,"2022,05,31,11:04:46"
,167.19,1350.13,"2022,05,31,11:04:47"
,167.96,1351.16,"2022,05,31,11:04:48"
,167.45,1352.16,"2022,05,31,11:04:49"
,167.45,1353.16,"2022,05,31,11:04:50"
,167.45,1354.16,"2022,05,31,11:04:51"
,167.7,1355.17,"2022,05,31,11:04:52"
,167.45,1356.2,"2022,05,31,11:04:53"
,167.96,1357.2,"2022,05,31,11:04:54"
,167.96,1358.2,"2022,05,31,11:04:55"
,167.96,1359.2,"2022,05,31,11:04:56"
,167.96,1360.21,"2022,05,31,11:04:57"
,168.21,1361.24,"2022,05,31,11:04:58"
,168.21,1362.24,"2022,05,31,11:04:59"
,168.72,1363.24,"2022,05,31,11:05:00"
,168.72,1364.24,"2022,05,31,11:05:01"
,169.23,1365.25,"2022,05,31,11:05:03"
,169.74,1366.28,"2022,05,31,11:05:04"
,169.23,1367.28,"2022,05,31,11:05:05"
,169.23,1368.28,"2022,05,31,11:05:06"
,169.23,1369.28,"2022,05,31,11:05:07"
,170,1370.29,"2022,05,31,11:05:08"
,169.49,1371.32,"2022,05,31,11:05:09"
,169.74,1372.32,"2022,05,31,11:05:10"
,170.51,1373.32,"2022,05,31,11:05:11"
,170.26,1374.32,"2022,05,31,11:05:12"
,170.51,1375.32,"2022,05,31,11:05:13"
,170.26,1376.36,"2022,05,31,11:05:14"
,170.51,1377.36,"2022,05,31,11:05:15"
,171.02,1378.36,"2022,05,31,11:05:16"
,171.28,1379.36,"2022,05,31,11:05:17"
,170.77,1380.36,"2022,05,31,11:05:18"
,171.53,1381.4,"2022,05,31,11:05:19"
,171.79,1382.4,"2022,05,31,11:05:20"
,171.79,1383.4,"2022,05,31,11:05:21"
,171.28,1384.4,"2022,05,31,11:05:22"
,172.04,1385.4,"2022,05,31,11:05:23"
,172.3,1386.44,"2022,05,31,11:05:24"
,171.79,1387.44,"2022,05,31,11:05:25"
,171.79,1388.44,"2022,05,31,11:05:26"
,172.04,1389.44,"2022,05,31,11:05:27"
,172.04,1390.44,"2022,05,31,11:05:28"
,172.3,1391.48,"2022,05,31,11:05:29"
,172.55,1392.48,"2022,05,31,11:05:30"
,173.06,1393.48,"2022,05,31,11:05:31"
,172.81,1394.48,"2022,05,31,11:05:32"
,172.3,1395.48,"2022,05,31,11:05:33"
,173.32,1396.52,"2022,05,31,11:05:34"
,172.55,1397.52,"2022,05,31,11:05:35"
,173.06,1398.52,"2022,05,31,11:05:36"
,173.83,1399.52,"2022,05,31,11:05:37"
,173.83,1400.52,"2022,05,31,11:05:38"
,173.06,1401.56,"2022,05,31,11:05:39"
,173.06,1402.56,"2022,05,31,11:05:40"
,173.83,1403.56,"2022,05,31,11:05:41"
,174.08,1404.56,"2022,05,31,11:05:42"
,174.08,1405.56,"2022,05,31,11:05:43"
,173.83,1406.59,"2022,05,31,11:05:44"
,174.08,1407.6,"2022,05,31,11:05:45"
,174.34,1408.6,"2022,05,31,11:05:46"
,174.34,1409.6,"2022,05,31,11:05:47"
,174.59,1410.6,"2022,05,31,11:05:48"
,174.85,1411.64,"2022,05,31,11:05:49"
,174.59,1412.64,"2022,05,31,11:05:50"
,174.34,1413.64,"2022,05,31,11:05:51"
,174.34,1414.64,"2022,05,31,11:05:52"
,174.59,1415.64,"2022,05,31,11:05:53"
,175.1,1416.68,"2022,05,31,11:05:54"
,175.61,1417.68,"2022,05,31,11:05:55"
,175.87,1418.68,"2022,05,31,11:05:56"
,174.85,1419.68,"2022,05,31,11:05:57"
,175.87,1420.68,"2022,05,31,11:05:58"
,175.61,1421.71,"2022,05,31,11:05:59"
,176.12,1422.72,"2022,05,31,11:06:00"
,175.36,1423.72,"2022,05,31,11:06:01"
,175.36,1424.72,"2022,05,31,11:06:02"
,175.87,1425.72,"2022,05,31,11:06:03"
,176.63,1426.75,"2022,05,31,11:06:04"
,176.89,1427.76,"2022,05,31,11:06:05"
,176.12,1428.76,"2022,05,31,11:06:06"
,176.38,1429.76,"2022,05,31,11:06:07"
,176.12,1430.76,"2022,05,31,11:06:08"
,176.63,1431.79,"2022,05,31,11:06:09"
,177.14,1432.8,"2022,05,31,11:06:10"
,177.4,1433.8,"2022,05,31,11:06:11"
,177.14,1434.8,"2022,05,31,11:06:12"
,177.4,1435.8,"2022,05,31,11:06:13"
,177.65,1436.83,"2022,05,31,11:06:14"
,176.89,1437.83,"2022,05,31,11:06:15"
,177.14,1438.84,"2022,05,31,11:06:16"
,177.91,1439.84,"2022,05,31,11:06:17"
,177.14,1440.84,"2022,05,31,11:06:18"
,178.16,1441.87,"2022,05,31,11:06:19"
,177.4,1442.88,"2022,05,31,11:06:20"
,178.16,1443.88,"2022,05,31,11:06:21"
,178.16,1444.88,"2022,05,31,11:06:22"
,178.67,1445.88,"2022,05,31,11:06:23"
,177.65,1446.91,"2022,05,31,11:06:24"
,178.16,1447.91,"2022,05,31,11:06:25"
,177.91,1448.92,"2022,05,31,11:06:26"
,178.16,1449.92,"2022,05,31,11:06:27"
,178.42,1450.92,"2022,05,31,11:06:28"
,179.18,1451.95,"2022,05,31,11:06:29"
,178.42,1452.95,"2022,05,31,11:06:30"
,178.93,1453.95,"2022,05,31,11:06:31"
,178.67,1454.96,"2022,05,31,11:06:32"
,178.93,1455.96,"2022,05,31,11:06:33"
,178.93,1456.99,"2022,05,31,11:06:34"
,179.18,1457.99,"2022,05,31,11:06:35"
,179.95,1459,"2022,05,31,11:06:36"
,179.44,1460,"2022,05,31,11:06:37"
,179.95,1461,"2022,05,31,11:06:38"
,179.95,1462.03,"2022,05,31,11:06:39"
,179.69,1463.03,"2022,05,31,11:06:40"
,180.2,1464.04,"2022,05,31,11:06:41"
,179.69,1465.04,"2022,05,31,11:06:42"
,179.69,1466.04,"2022,05,31,11:06:43"
,180.46,1467.07,"2022,05,31,11:06:44"
,180.46,1468.07,"2022,05,31,11:06:45"
,180.2,1469.07,"2022,05,31,11:06:46"
,180.71,1470.08,"2022,05,31,11:06:47"
,180.46,1471.08,"2022,05,31,11:06:48"
,180.46,1472.11,"2022,05,31,11:06:49"
,181.22,1473.11,"2022,05,31,11:06:50"
,180.71,1474.11,"2022,05,31,11:06:51"
,181.48,1475.11,"2022,05,31,11:06:52"
,180.97,1476.12,"2022,05,31,11:06:53"
,181.73,1477.15,"2022,05,31,11:06:54"
,180.97,1478.15,"2022,05,31,11:06:55"
,181.73,1479.15,"2022,05,31,11:06:56"
,181.73,1480.16,"2022,05,31,11:06:57"
,181.22,1481.16,"2022,05,31,11:06:58"
,181.48,1482.19,"2022,05,31,11:06:59"
,182.5,1483.19,"2022,05,31,11:07:00"
,181.99,1484.19,"2022,05,31,11:07:01"
,182.76,1485.19,"2022,05,31,11:07:02"
,182.5,1486.2,"2022,05,31,11:07:03"
,182.24,1487.23,"2022,05,31,11:07:04"
,183.01,1488.23,"2022,05,31,11:07:05"
,182.76,1489.23,"2022,05,31,11:07:06"
,183.27,1490.23,"2022,05,31,11:07:07"
,182.5,1491.24,"2022,05,31,11:07:08"
,182.76,1492.27,"2022,05,31,11:07:09"
,182.5,1493.27,"2022,05,31,11:07:10"
,182.76,1494.27,"2022,05,31,11:07:11"
,183.27,1495.27,"2022,05,31,11:07:12"
,183.52,1496.28,"2022,05,31,11:07:13"
,183.27,1497.31,"2022,05,31,11:07:14"
,183.27,1498.31,"2022,05,31,11:07:15"
,183.52,1499.31,"2022,05,31,11:07:16"
,183.52,1500.31,"2022,05,31,11:07:17"
,184.03,1501.31,"2022,05,31,11:07:18"
,184.29,1502.35,"2022,05,31,11:07:20"
,184.54,1503.35,"2022,05,31,11:07:21"
,184.54,1504.35,"2022,05,31,11:07:22"
,184.8,1505.35,"2022,05,31,11:07:23"
,183.78,1506.35,"2022,05,31,11:07:24"
,184.54,1507.39,"2022,05,31,11:07:25"
,184.29,1508.39,"2022,05,31,11:07:26"
,184.29,1509.39,"2022,05,31,11:07:27"
,184.29,1510.39,"2022,05,31,11:07:28"
,184.54,1511.4,"2022,05,31,11:07:29"
,185.31,1512.43,"2022,05,31,11:07:30"
,184.54,1513.43,"2022,05,31,11:07:31"
,185.31,1514.43,"2022,05,31,11:07:32"
,185.31,1515.43,"2022,05,31,11:07:33"
,184.8,1516.44,"2022,05,31,11:07:34"
,184.8,1517.47,"2022,05,31,11:07:35"
,185.56,1518.47,"2022,05,31,11:07:36"
,185.31,1519.47,"2022,05,31,11:07:37"
,185.56,1520.47,"2022,05,31,11:07:38"
,185.05,1521.47,"2022,05,31,11:07:39"
,185.82,1522.51,"2022,05,31,11:07:40"
,185.31,1523.51,"2022,05,31,11:07:41"
,186.07,1524.51,"2022,05,31,11:07:42"
,185.56,1525.51,"2022,05,31,11:07:43"
,185.56,1526.51,"2022,05,31,11:07:44"
,186.33,1527.55,"2022,05,31,11:07:45"
,185.82,1528.55,"2022,05,31,11:07:46"
,186.33,1529.55,"2022,05,31,11:07:47"
,185.82,1530.55,"2022,05,31,11:07:48"
,186.07,1531.55,"2022,05,31,11:07:49"
,186.58,1532.59,"2022,05,31,11:07:50"
,186.33,1533.59,"2022,05,31,11:07:51"
,187.09,1534.59,"2022,05,31,11:07:52"
,186.33,1535.59,"2022,05,31,11:07:53"
,187.09,1536.59,"2022,05,31,11:07:54"
,187.35,1537.63,"2022,05,31,11:07:55"
,187.35,1538.63,"2022,05,31,11:07:56"
,186.84,1539.63,"2022,05,31,11:07:57"
,187.09,1540.63,"2022,05,31,11:07:58"
,187.6,1541.63,"2022,05,31,11:07:59"
,187.35,1542.67,"2022,05,31,11:08:00"
,186.58,1543.67,"2022,05,31,11:08:01"
,187.6,1544.67,"2022,05,31,11:08:02"
,187.86,1545.67,"2022,05,31,11:08:03"
,187.86,1546.67,"2022,05,31,11:08:04"
,187.35,1547.71,"2022,05,31,11:08:05"
,187.86,1548.71,"2022,05,31,11:08:06"
,188.11,1549.71,"2022,05,31,11:08:07"
,187.86,1550.71,"2022,05,31,11:08:08"
,188.11,1551.71,"2022,05,31,11:08:09"
,188.11,1552.75,"2022,05,31,11:08:10"
,188.37,1553.75,"2022,05,31,11:08:11"
,188.88,1554.75,"2022,05,31,11:08:12"
,188.62,1555.75,"2022,05,31,11:08:13"
,189.39,1556.75,"2022,05,31,11:08:14"
,189.39,1557.79,"2022,05,31,11:08:15"
,189.39,1558.79,"2022,05,31,11:08:16"
,189.64,1559.79,"2022,05,31,11:08:17"
,189.64,1560.79,"2022,05,31,11:08:18"
,189.9,1561.79,"2022,05,31,11:08:19"
,189.13,1562.82,"2022,05,31,11:08:20"
,189.9,1563.82,"2022,05,31,11:08:21"
,189.9,1564.83,"2022,05,31,11:08:22"
,189.39,1565.83,"2022,05,31,11:08:23"
,189.39,1566.83,"2022,05,31,11:08:24"
,189.64,1567.86,"2022,05,31,11:08:25"
,190.41,1568.86,"2022,05,31,11:08:26"
,189.9,1569.87,"2022,05,31,11:08:27"
,189.64,1570.87,"2022,05,31,11:08:28"
,190.41,1571.87,"2022,05,31,11:08:29"
,190.92,1572.9,"2022,05,31,11:08:30"
,190.41,1573.91,"2022,05,31,11:08:31"
,191.17,1574.91,"2022,05,31,11:08:32"
,190.66,1575.91,"2022,05,31,11:08:33"
,190.41,1576.91,"2022,05,31,11:08:34"
,190.41,1577.94,"2022,05,31,11:08:35"
,190.66,1578.94,"2022,05,31,11:08:36"
,191.17,1579.95,"2022,05,31,11:08:37"
,190.66,1580.95,"2022,05,31,11:08:38"
,191.17,1581.95,"2022,05,31,11:08:39"
,190.66,1582.98,"2022,05,31,11:08:40"
,190.92,1583.98,"2022,05,31,11:08:41"
,190.66,1584.99,"2022,05,31,11:08:42"
,190.92,1585.99,"2022,05,31,11:08:43"
,190.92,1586.99,"2022,05,31,11:08:44"
,191.17,1588.02,"2022,05,31,11:08:45"
,191.17,1589.02,"2022,05,31,11:08:46"
,191.43,1590.03,"2022,05,31,11:08:47"
,192.19,1591.03,"2022,05,31,11:08:48"
,191.94,1592.03,"2022,05,31,11:08:49"
,191.17,1593.06,"2022,05,31,11:08:50"
,191.94,1594.06,"2022,05,31,11:08:51"
,191.94,1595.07,"2022,05,31,11:08:52"
,192.19,1596.07,"2022,05,31,11:08:53"
,191.68,1597.07,"2022,05,31,11:08:54"
,192.19,1598.1,"2022,05,31,11:08:55"
,192.7,1599.1,"2022,05,31,11:08:56"
,192.96,1600.1,"2022,05,31,11:08:57"
,192.7,1601.11,"2022,05,31,11:08:58"
,192.19,1602.11,"2022,05,31,11:08:59"
,192.19,1603.14,"2022,05,31,11:09:00"
,193.21,1604.14,"2022,05,31,11:09:01"
,192.96,1605.15,"2022,05,31,11:09:02"
,192.96,1606.15,"2022,05,31,11:09:03"
,192.45,1607.15,"2022,05,31,11:09:04"
,193.47,1608.18,"2022,05,31,11:09:05"
,192.96,1609.18,"2022,05,31,11:09:06"
,193.72,1610.18,"2022,05,31,11:09:07"
,193.72,1611.19,"2022,05,31,11:09:08"
,193.98,1612.19,"2022,05,31,11:09:09"
,193.72,1613.22,"2022,05,31,11:09:10"
,193.47,1614.22,"2022,05,31,11:09:11"
,193.72,1615.22,"2022,05,31,11:09:12"
,193.98,1616.22,"2022,05,31,11:09:13"
,193.72,1617.23,"2022,05,31,11:09:14"
,194.49,1618.26,"2022,05,31,11:09:15"
,194.49,1619.26,"2022,05,31,11:09:16"
,195,1620.26,"2022,05,31,11:09:17"
,195,1621.27,"2022,05,31,11:09:18"
,194.74,1622.27,"2022,05,31,11:09:19"
,195.26,1623.3,"2022,05,31,11:09:20"
,194.74,1624.3,"2022,05,31,11:09:21"
,195.51,1625.3,"2022,05,31,11:09:22"
,195.51,1626.31,"2022,05,31,11:09:23"
,195.51,1627.31,"2022,05,31,11:09:24"
,195.77,1628.34,"2022,05,31,11:09:25"
,196.02,1629.34,"2022,05,31,11:09:26"
,195.51,1630.34,"2022,05,31,11:09:27"
,195.51,1631.34,"2022,05,31,11:09:28"
,196.28,1632.35,"2022,05,31,11:09:29"
,195.51,1633.38,"2022,05,31,11:09:30"
,196.02,1634.38,"2022,05,31,11:09:31"
,196.02,1635.38,"2022,05,31,11:09:32"
,195.51,1636.38,"2022,05,31,11:09:33"
,195.77,1637.39,"2022,05,31,11:09:34"
,196.53,1638.42,"2022,05,31,11:09:36"
,196.28,1639.42,"2022,05,31,11:09:37"
,196.28,1640.42,"2022,05,31,11:09:38"
,196.02,1641.42,"2022,05,31,11:09:39"
,196.53,1642.43,"2022,05,31,11:09:40"
,196.79,1643.46,"2022,05,31,11:09:41"
,197.04,1644.46,"2022,05,31,11:09:42"
,196.28,1645.46,"2022,05,31,11:09:43"
,196.53,1646.46,"2022,05,31,11:09:44"
,196.53,1647.46,"2022,05,31,11:09:45"
,197.3,1648.5,"2022,05,31,11:09:46"
,196.79,1649.5,"2022,05,31,11:09:47"
,197.3,1650.5,"2022,05,31,11:09:48"
,197.55,1651.5,"2022,05,31,11:09:49"
,197.55,1652.51,"2022,05,31,11:09:50"
,197.81,1653.54,"2022,05,31,11:09:51"
,197.3,1654.54,"2022,05,31,11:09:52"
,197.04,1655.54,"2022,05,31,11:09:53"
,197.81,1656.54,"2022,05,31,11:09:54"
,197.81,1657.54,"2022,05,31,11:09:55"
,197.81,1658.58,"2022,05,31,11:09:56"
,197.3,1659.58,"2022,05,31,11:09:57"
,198.06,1660.58,"2022,05,31,11:09:58"
,197.81,1661.58,"2022,05,31,11:09:59"
,198.57,1662.58,"2022,05,31,11:10:00"
,198.83,1663.62,"2022,05,31,11:10:01"
,198.83,1664.62,"2022,05,31,11:10:02"
,199.08,1665.62,"2022,05,31,11:10:03"
,199.08,1666.62,"2022,05,31,11:10:04"
,198.32,1667.62,"2022,05,31,11:10:05"
,198.32,1668.66,"2022,05,31,11:10:06"
,198.32,1669.66,"2022,05,31,11:10:07"
,199.34,1670.66,"2022,05,31,11:10:08"
,199.08,1671.66,"2022,05,31,11:10:09"
,198.57,1672.66,"2022,05,31,11:10:10"
,199.34,1673.69,"2022,05,31,11:10:11"
,198.83,1674.7,"2022,05,31,11:10:12"
,198.83,1675.7,"2022,05,31,11:10:13"
,199.59,1676.7,"2022,05,31,11:10:14"
,199.85,1677.7,"2022,05,31,11:10:15"
,199.34,1678.74,"2022,05,31,11:10:16"
,199.34,1679.74,"2022,05,31,11:10:17"
,199.34,1680.74,"2022,05,31,11:10:18"
,199.59,1681.74,"2022,05,31,11:10:19"
,199.85,1682.74,"2022,05,31,11:10:20"
,200.36,1683.78,"2022,05,31,11:10:21"
,200.36,1684.78,"2022,05,31,11:10:22"
,200.61,1685.78,"2022,05,31,11:10:23"
,200.1,1686.78,"2022,05,31,11:10:24"
,200.36,1687.78,"2022,05,31,11:10:25"
,200.87,1688.82,"2022,05,31,11:10:26"
,200.87,1689.82,"2022,05,31,11:10:27"
,200.36,1690.82,"2022,05,31,11:10:28"
,200.61,1691.82,"2022,05,31,11:10:29"
,200.36,1692.82,"2022,05,31,11:10:30"
,200.87,1693.85,"2022,05,31,11:10:31"
,201.12,1694.86,"2022,05,31,11:10:32"
,201.38,1695.86,"2022,05,31,11:10:33"
,200.87,1696.86,"2022,05,31,11:10:34"
,200.87,1697.86,"2022,05,31,11:10:35"
,201.89,1698.9,"2022,05,31,11:10:36"
,201.38,1699.9,"2022,05,31,11:10:37"
,201.12,1700.9,"2022,05,31,11:10:38"
,201.12,1701.9,"2022,05,31,11:10:39"
,202.14,1702.9,"2022,05,31,11:10:40"
,201.89,1703.94,"2022,05,31,11:10:41"
,201.38,1704.94,"2022,05,31,11:10:42"
,201.63,1705.94,"2022,05,31,11:10:43"
,201.63,1706.94,"2022,05,31,11:10:44"
,202.14,1707.94,"2022,05,31,11:10:45"
,202.4,1708.97,"2022,05,31,11:10:46"
,202.4,1709.98,"2022,05,31,11:10:47"
,201.89,1710.98,"2022,05,31,11:10:48"
,202.65,1711.98,"2022,05,31,11:10:49"
,202.65,1712.98,"2022,05,31,11:10:50"
,202.14,1714.01,"2022,05,31,11:10:51"
,202.91,1715.02,"2022,05,31,11:10:52"
,202.91,1716.02,"2022,05,31,11:10:53"
,202.65,1717.02,"2022,05,31,11:10:54"
,203.16,1718.02,"2022,05,31,11:10:55"
,203.67,1719.06,"2022,05,31,11:10:56"
,202.91,1720.06,"2022,05,31,11:10:57"
,203.67,1721.06,"2022,05,31,11:10:58"
,203.16,1722.06,"2022,05,31,11:10:59"
,203.16,1723.06,"2022,05,31,11:11:00"
,203.42,1724.09,"2022,05,31,11:11:01"
,204.18,1725.09,"2022,05,31,11:11:02"
,203.42,1726.1,"2022,05,31,11:11:03"
,203.42,1727.1,"2022,05,31,11:11:04"
,204.44,1728.1,"2022,05,31,11:11:05"
,203.67,1729.13,"2022,05,31,11:11:06"
,204.44,1730.14,"2022,05,31,11:11:07"
